id,grade,subject,question,model_answer,keywords,max_score,source
16,10,Chemistry,Explain H C NH,2 COOH Some amino acids cannot be synthesized within the body. So they have to be taken from outside with food. Therefore they are known as essential amino acids. 6 For free distribution 7 For free distribution,amino acids;amino;acids;food therefore known;food therefore;essential amino acids;essential amino;cooh amino acids;cooh amino;outside;within body;synthesized,,
17,10,Chemistry,Explain Solution turn to purple colour," Enzymes The special proteins organic catalysts that are produced within the organism to increase the rate of bio-chemical reactions are known as enzymes. For example to convert Sucrose into Glucose, Sucrose has to be heated with a dilute acid. But the enzymes present in the digestive system do the same reaction at a low temperature. Therefore the activity of enzyme is to catalyze the bio-chemical reactions. Engage in the following activity on how enzymes function. Activity - 01",enzymes;bio chemical reactions;bio chemical;sucrose;activity;chemical reactions;reactions;bio;chemical;glucose sucrose;convert sucrose;convert sucrose glucose,,
18,10,Biology,Explain Method,"y Put 2ml of Starch solution into a test tube. y Add 2ml of Amylase Filter a solution of ground germinating green gram Mung seedlings into it and mix well. y Get a drop from the solution after 2 minutes and place it on a white porcelain tile. y Add a drop of Iodine onto the drop of mixture. y Continue same procedure for about 20 minutes in 2 minute intervals. The blue colour of the drop obtained from the mixture gradually reduces with time and finally obtains the colour of Iodine yellow brown colour Starch gives black blue colour with Iodine but it does not give colour change with Iodine after 20 minutes as there is no Starch there.That is because Starch is converted to Maltose by Amylase enzyme. 8 For free distribution 9 For free distribution 1'3 Lipids Fats and oils belong to this group. Lipids which are solid at room temperature are called fats and liquids are called oils. Similar to carbohydrates, fats also contain Carbon, Hydrogen and Oxygen as constituent elements. But a lipid contains much less oxygen than a carbohydrate. Lipids are insoluble in polar solvents including water. They are soluble in organic solvents. Ground nut, coconut, gingelly, butter and margarine are examples for foods which contain lipids. Fatty acids and glycerol react to form Lipids. Fatty acids  Glycerol Lipids  Water  Significance of Lipids y As an energy source Lipids act as an energy source as carbohydrates and proteins. More energy is produced during burning of lipids. y To form different str",lipids;drop;colour;iodine;fats;minutes;starch;2ml;20 minutes;colour iodine;blue colour;energy source,,
19,10,Chemistry,Explain Unsaturated fatty acids,"fatty acids which contain one or several double bonds within Carbon atoms are called unsaturated fatty acids. Unsaturated fatty acids exist in room temperature as liquids. 1'4 Nucleic Acids Nucleic acid is the most important molecule out of the main bio molecules in living matter in genetical aspect. It is a linear polymer made up of large number of nucleotides. It contains Carbon C, Hydrogen H, Oxygen O, Nitrogen N and Phosphorous P. 10 For free distribution 11 For free distribution",acids;fatty acids;fatty;unsaturated;unsaturated fatty acids;unsaturated fatty;nucleic;contain one;fatty acids exist;genetical;fatty acids unsaturated;contain one several,,
20,10,Chemistry,Explain There are two types of Nucleic acids,"y DNA - Deoxy ribo Nucleci Acid y RNA - Ribo Nucleic Acid  DNA The structural unit of DNA is Deoxy ribo Nucleotide. DNA transfers genetic characteristics from generation to generation  RNA Except DNA, the other nucleic acid present in organisms is RNA.",dna;ribo;rna;deoxy;dna deoxy;dna deoxy ribo;deoxy ribo;acid;nucleic acid;generation;nucleic;genetic characteristics generation,,
21,10,Chemistry,Explain The structural unit of RNA is,"Ribonucleotide. Protein synthesis is the function of RNA.  Significance of Nucleic acidI Figure 1.4- The structure of y Important in storage of genetic information of a DNA molecule organisms. y Important in transferring genetic information from generation to generation. y Important in protein synthesis process. y Important in controlling all cellular activities in a cell. The information to control cellular activities is present in DNA. y RNA is important in storing genetic information of some viruses. y The variations occur in DNA due to mutations are important in evolution. 12 For free distribution 13 For free distribution The above bio molecules contain mainly Carbon C, Hydrogen H,Oxygen O and Nitrogen N. We will conduct below mentioned activities to confirm the presence of those elements. Activity - 02",important;genetic information;information;genetic;dna;cellular activities;activities;protein synthesis;rna;generation;synthesis;protein,,
22,10,Biology,Explain Potassium,muscles  Psychological disorders  Transmission of nerve impulses  Activates enzymes  Constituent of digestive juice  Respiratory disorders  To maintain constant osmotic Sodium  Cramps pressure in cells  Nausea  Transmission of nerve  Diarrhoea impulses Magnesium  Constituent of bones and teeth  High heart beat  To control nerve activity in  Nerve irritability skeletal muscles  Help in metabolic activities Calcium  Growth of bones and teeth  Weakening of bones and teeth  Blood clotting  Growth disorders  Proper function of nerves  Osteoporosis  Milk production  Absorption of Vitamin B 16 For free distribution 17 For free distribution Phosphorous  Growth of bones and teeth  Weakening of bones and become fragile  As a constituent of nucleic acid  For carbohydrate and fat metabolism  Instant release of energy in muscles and nerves Iron  Synthesis of haemoglobin  Anaemia  Storage of oxygen in muscles  Sleepiness  As a constituent of enzymes  Hypoactive nature  Weakness in psychological development Iodine  Synthesis of Thyroxin  Affects development of hormone intelligence  Lethargic attitude towards studies  Limits body height Functions of minerals in plants and deficiency symptoms of them are mentioned in the following table. Table 1'6 - Functions of minerals in plants and deficiency symptoms of them,bones teeth;bones;nerve;teeth;disorders;muscles;constituent;growth bones teeth;psychological;teeth weakening bones;teeth weakening;minerals plants,,
23,10,Biology,Explain Phosphorous nucleic acid and, Red and purple patches on ATP Adenosine Tri leaves Phosphate  Protein synthesis  Chlorosis in leaves Potassium  Opening and closing of  Yellow or brown patches in stomata leaves 16 For free distribution 17 For free distribution  Synthesis of chlorophyll Iron  Synthesis of respiratory  Chlorosis in tender leaves enzymes  Component of cell wall,leaves;synthesis;chlorosis;patches;free distribution synthesis;enzymes component cell;distribution synthesis;distribution synthesis chlorophyll;enzymes component;tri leaves phosphate;tri leaves;tri,,
24,10,Biology,Explain Calcium and functions of plasma,the leaves membrane For the Activity of enzymes  For the activity of most  Dead cells and tissues Zinc enzymes Synthesis of throughout the plant. Extra chlorophyll thickness in leaves  As a constituent of amino  Chlorosis in veins and areas,enzymes;leaves;activity;enzymes activity dead;constituent amino;enzymes synthesis throughout;constituent amino chlorosis;tissues zinc enzymes;tissues zinc;enzymes synthesis;dead cells;dead cells tissues,,
25,10,Chemistry,Explain Sulphur,"acids and proteins between veins. Nitrogen deficiency symptoms Zinc deficiency symptoms Phosphrous deficiency symptoms Chlorosis in mature leaves Extra thickness in leaves Red and purple patches on leaves Potassium deficiency symptoms Calcium deficiency symptoms Yellow or brown patches in leaves Dying of tissues at tips of the leaves Figure 1.5- Deficiency symptoms in plants 18 For free distribution 19 For free distribution Assignment 1.2 Observe a field or a farm and collect different parts of plants with different deficiency symptoms. Identify the deficient element for the relevent disease condition. Make sure not to harm the cultivation 1'7 Vitamins They are organic compounds important in bio chemical reaction. Vitamins can be classified into 2 groups according to the solubility in water. Vitamin B and C are water soluble and A, D, E, and K are insoluble in water. But these are fat soluble. The vitamins are needed for activities of human body, Their uses and deficiency symptoms are given in table 1.7. Table 1.7 - Uses of vitamins and their deficiency symptoms",deficiency;deficiency symptoms;symptoms;leaves;vitamins;patches leaves;uses;patches;soluble;plants;water;condition make sure,,
26,10,Biology,Explain Vitamin,Vitamin A  Night blindness  Formation of visual  Bitot's patches in the eye pigments important in  Dryness in the skin eye vision  Blisters on knees and elbow  To keep skin healthy and fair  Diseases associated with respiratory tract Vitamin B  Maintenance of nerves  Beriberi  To maintain a healthy  Anaemia skin  Dryness in skin  Formation of bone  Change in complexion marrow  Reduction in antibody production  Maturation of Red Blood Cells  Antibody production Vitamin C  To keep skin healthy  Weakening of gum  To form enamel.  Internal bleeding  To synthesize collagen  Delays recovery from diseases fibers.  Scurvy 18 For free distribution 19 For free distribution Vitamin D  Controls absorption  Rickets Deforming of bones of calcium and phosphorous Vitamin E  Growth of tissues and  Premature births cells  Increase rate of breaking down of red blood cells  Weaknesses in cell division  Weaknesses in reproduction Vitamin K  To produce components  Delays blood clotting needed for blood clotting,vitamin;skin;healthy;blood;delays;dryness skin;keep skin healthy;keep skin;dryness;antibody;antibody production;skin healthy,,
27,10,Chemistry,Explain For,"knowledge Vitamin B is a complex vitamin. There are vitamins as B  B , B ,B in 1 2 6 12 that complex' These are obtained through food and some vitamins are synthesized by bacteria living in human intestine. Vitamin A deficiency symptoms Vitamin B deficiency symptoms Bito patches in the eye Change in complexion",vitamin;vitamin deficiency symptoms;vitamin deficiency;deficiency symptoms;deficiency;vitamins;symptoms;complex;food vitamins synthesized;food vitamins;eye change complexion;eye change,,
28,10,Chemistry,Explain Summary,"y The main substances that form the living body are carbohydrates, proteins, lipids and nucleic acids. They are known as bio molecules belong to living matter. y Beside organic compounds, inorganic compounds such as water, mineral salts also play an important role in living systems. y Main elements found in bio molecules are C,H,O,N. y The proteins that catalyze biochemical reactions are enzymes. y Although Minerals and vitamins are needed in small amounts, when they are deficient in supply, organisms show deficiency symptoms. y The specific properties of water are highly important in maintenance of life.",living;bio molecules;bio;main;proteins;molecules;important;compounds;play;living matter;minerals vitamins;vitamins needed,,
29,10,Biology,Explain Exercises,"01. Select the most appropriate answer. 1 The food that contains highest amount of starch is, 1. Potato 2. Peanut 3. Cucumber 4. Gotukola 2 Which belongs to monosaccharide? 1. Fructose 2. Sucrose 3. Maltose 4. Lactose 3 A carbohydrate specially found in plants is, 1. Glycogen 2. Lactose 3. Cutin 4. Cellulose 4 A Vitamin that helps in blood clotting is 1. Vitamin A 2. Vitamin D 3. Vitamin C 4. Vitamin K 5 Not an organic compound present in living body, 1. Proteins 2. Water 3. Carbohydrates 4. Lipids 6 An advantage of containing fibres in food is, 1. Low risk in cancers in large intestine 2. Prevent constipation 3. Helps, control blood sugar level 4. All the above 20 For free distribution 21 For free distribution 02. Below mentioned deficiency symptoms were identified at a health clinic conducted for grade 6 students in a particular school. Identify the relevant vitamin for the deficiency symptoms. y Weaknesses in eye sight and bitot's patches in eyes... y Weaknesses in growth of teeth and tooth decay... y Bleeding gum .. y Wounds at ends of mouth .. y Anaemia .. 03 State 3 specific features of water. Explain one briefly mentioning how it helps in continuation of life.",vitamin;vitamin vitamin;helps;lactose;vitamin vitamin vitamin;weaknesses;deficiency;deficiency symptoms;symptoms;food;blood;cutin cellulose vitamin,,
30,10,General Science,Explain Motion in a straight line,"2.1 Distance and displacement Distance is a concept familiar to you. When you go from home to school, you have to travel a certain distance. Sometimes, there can be several paths you could use to travel between home and school. Some of them could be shorter and some longer. Figure 2.1 shows several paths that a child could take, to travel from a point A to another point B. path P distance 320 m path Q distance 200 m",distance;could;travel;home school;path distance;several paths;home;paths;school;path;several;travel point another,,
31,10,Chemistry,Explain East,"A B distance 160 m path R distance 240 m Figure 2.1  Several paths between points A to B If path P is used, the distance between point A to point B would be 320 m. If path Q is used, this distance would be 200 m. If path R is taken, the travel distance would be 240 m. This shows that the distance depends not only on the starting and the end points, but also on the path used to traverse the distance. Whichever the path the child uses to reach B after starting from A, the ultimate result is that he has moved a distance of 160 m from A to B on a straight line towards the east . A change of position like this, that occurs from one point to another point in a particular direction is called displacement. The magnitude of the displacement is the shortest distance between the two points. PB 23 A physical quantity which can be described only by its magnitude is called a scalar quantity. eg: speed, mass, time, distance A physical quantity which can be described by its magnitude and direction is called a vector quantity. eg: displacement, acceleration, velocity, weight In the example above, the displacement of the child is 160 m to the east. Although the distance has changed according to the path taken, the displacement has remained the same. In addition, there is another important difference between distance and displacement. Because we do not take the direction into account when measuring the distance, distance has only a magnitude. It does not have a direction. Therefore, distance is",distance;path;displacement;quantity;path used;magnitude;160;direction;path used distance;distance 160;used distance;distance would,,
32,10,Chemistry,Explain This means that the magnitude of,"the displacement is 500 m while its direction is along AD. school Figure 2.2 - Path taken by a child to travel from home to school 24 25 ii Now consider Figure 2.3. A child starts from point A and distance reaches the point B along the path indicated by the arrows. i p n o it i i n a t l displacement final point Figure 2.3  A path between A and B Even though the distance travelled by the child along this path is 400 m, the magnitude of his displacement is 120 m and the direction is along AB. iii A 200 m running track used in track events is shown in Figure 2.4. 200 m running track",path;track;along;child;direction along;figure path;running track;200 running;200 running track;along path;displacement;running,,
33,10,Chemistry,Explain A,"West Figure 2.5  Finding the direction of Figure 2.4  A 200 m running track the athlete An athlete who runs in this track from A to B reaches the point B after running a distance of 200 m. Then the displacement of the athlete can be indicated by the straight line AB. The magnitude of his displacement is 160 m. Its direction according to Figure 2.5 is 70o from the north to west. This displacement can be expressed in the following manner. 160 m in the direction 700 from north to west. 24 25 iv Now consider a situation where a child is walking 60 m from A to B along the straight line path as shown in Figure 2.6. A B C 60 m 40 m Figure 2.6  Path of a child walking from A The displacement of the child is 60 m along AB. Thereafter, if the child walks another 40 m along the same direction and reaches point C, what would be his total displacement? When two or more displacements occur along the same direction, they can be either added or subtracted using ordinary arithmetic. Since the displacements in the above example are in the same direction, total displacement  60 m  40 m  100 m This means that the child is now at a point 100 m away on a straight line from the starting point. Now suppose that the child walks back 40 m after reaching the point B, as shown in Figure 2.7, instead of walking forward. The displacement corresponding to 40 m is in the opposite direction to that of AB. According to the figure 2.7 it is clear that the total displacement is given by the line AC. Therefore, ",displacement;child;direction;40;60;athlete;walking;west;point;total displacement;figure;ab,,
34,10,Physics,Explain What we mean by speed is the rate at which a,"given distance is traversed. distance speed  time In other words, speed is the distance traversed in a unit time. 26 27 Vehicles moving in roadways cannot maintain the same speed throughout the travel time. The speedometer of a motor vehicle usually indicates only the speed of the vehicle at a particular instant. When there is heavy traffic, vehicles have to slow down, and when there are pedestrians crossing the road, the vehicles even have to stop. On the other hand, if there are only a few other vehicles in the road, the same speed can be maintained for a fairly long distance. Let us consider two such instances, one where the same speed is maintained, and the other where the speed changes with time, through the following examples. The distance traversed by a certain object at different instances in time is shown in the table below. Time t s 0 1 2 3 4 5 6 Distance traversed d m 0 3 6 9 12 15 18 According to these data, Distance traversed by the object during the first second  3 - 0  3 m Distance traversed during the next second  6 - 3  3 m Similarly, the distances traversed during each of the third, fourth, fifth and sixth seconds is also 3 m. That is, the object has traversed 3 m during each 1 s time interval. Therefore, in this case we can say that the object has moved at a uniform or constant speed. Since the time is given in seconds and the distance in meters, distance speed  the speed has the unit ms-1  m . Accordingly, the above object s time has a speed of 3 m s-1. No",speed;traversed;distance;distance traversed;time;vehicles;object;speed maintained;distance speed;seconds;maintained;road,,
35,10,Chemistry,Explain Answers,"i The child has moved forward by 8 m at a uniform velocity during the first 4 s. ii Rate of change of the displacement change of displacement  during the first 4 s time Final displacement - initial displacement  time  8-0 m  4 s  2 m s-1 30 31 iii Rate of change of the displacement is the velocity. iv The child has not moved during the time period from 4 s to 8 s. v The displacement during the time interval from 8 s to 10 s has taken place in the opposite direction. He has come back to the starting point after 10 s. vi Velocity of the child during the last 2 s change of displacement  time 0 - 8 m  2 s  - 4 m s-1 That is, the velocity is 4 m s-1 in the opposite direction. 2.4 Acceleration In everyday life we mostly encounter, objects that move with non-uniform velocities. Vehicles moving in roadways have to increase or decrease their velocities frequently. Sometimes they have to change their direction. The result of all these changes is the change of velocity. The following table shows the manner in which the velocity of a body that travelled along a straight line varied with time. Time t s 0 1 2 3 4 5 6 Velocity v m s-1 0 2 4 6 8 10 12 According to the above data, the velocity of the body has changed from 0 m s-1 to 12 m s-1 during a 6 s period",velocity;displacement;change displacement;time;change;displacement time;child;child moved;rate change displacement;rate change;velocities;velocity body,,
36,10,Chemistry,Explain Change in the velocity at the initial,"velocity during 6 s end of 6 s velocity When we divide the above velocity change 12 m s-1 by the time duration for this change 6 s, we get the rate of change of the velocity. The rate of change of the velocity is known as the acceleration. That is, the change in velocity per unit time is the acceleration. 32 33 We already know that the unit of the velocity is m s-1. Since the acceleration is the velocity change in a second, the acceleration has the unit ms-2 m s s- 1. Therefore we can calculate the acceleration of the above object in the following manner. final veloficnitayl -v einloitciaitly v -e lionctiiatyl velocity AcceleraAtioccne ler ation  time time  12 - 0  m12 s --1 0  m s-1   6 s 6 s  2 m s-2 2 m s-2 When a body has an acceleration of 2 m s-2, it means that its velocity changes by 2 m s-1 during each second. If the acceleration has a positive value, it implies that the velocity is increasing. A negative acceleration means a decrease in the velocity. Suppose that a body moving in a straight line had an initial velocity of 12 m s-1, which later varied with time as shown in the following table. Time t s 0 1 2 3 4 Velocity v m s-1 12 9 6 3 0 Here, the velocity has decreased. The acceleration of this body can be calculated in the following manner. change of velocity Acceleration  time  0 - 12  m s-1  4 s  -3 m s-2 Here, we have obtained a negative value for the acceleration. It means that the velocity has decreased by 3 m s-1 each second. If the velocity is decreasing, t",velocity;acceleration;change;time;change velocity;acceleration means;12;rate change velocity;velocity change;second;second acceleration;velocity 12,,
37,10,Physics,Explain Velocity,"v m s-1 18 15 12 9 6 3 time t s 0 1 2 3 4 5 6 Figure 2.10 - A velocity - time graph This graph is a straight line, because the increase in the velocity during each 1 s interval is the same. This represents a motion with a uniform constant acceleration. As mentioned before, the gradient of the straight line can be obtained by dividing the difference between the y-coordinates of any two points on the graph by the difference between the corresponding x-coordinates. In this graph also, the x-axis represents time. Therefore, the difference between x coordinates gives a time interval. The corresponding difference in the y coordinates gives the velocity difference during this time interval. Velocity difference divided by time gives an acceleration. ddiiffffeerreennccee bbeettwweeeenn vveellooccitiiteiess Gradient  ttiimmee  acceleration 38 39 For the above graph, 18 - 0 m s-1 Acceleration  6 s  3 m s-2 Figure 2.11 shows the velocity - time graph for the motion of a body moving at a constant velocity of 6 m s-1. Since the velocity remains the same in a motion taking place with a constant velocity, this graph is a straight line parallel to the x-axis. Since the velocity of the motion described by the above graph is 6 m s-1, you can calculate the displacement as shown below, using the formula you learnt in section 2.3. ddiissppllcceemmeenntt Velocity  ttiimmee Displacement  velocity  time  6 m s-1  8 s  48 m",velocity;graph;difference;coordinates;time;difference coordinates;acceleration;interval;motion;velocity time;gives;difference coordinates gives,,
38,10,Physics,Explain Example,"A body with an initial velocity of 8 m s-1 moves under a constant deceleration, and comes to rest after 4 s. Plot the velocity - time graph for this motion and find the displacement during the 4 s. velocity v m s-1 8 time t s 0 4 The velocity - time graph is shown in the figure. The displacement is equal to the area of the shaded region. Displacement of the body  8  4 2  16 m 40 41  Now consider the following problem. An object starting from rest, acquires a velocity of 15 m s-1 after moving for 6 s under a uniform acceleration. Then the object moves with that velocity for 6 s and comes to rest after decelerating for 3 s. i Plot the velocity - time graph for this motion. ii Find the acceleration during the first 6 s. iii What is the displacement during these 6 s? iv What is the displacement travelled under the uniform velocity? v What is the deceleration during the last 3 s? vi What is the displacement during the last 3 s? vii a Write down an expression in order to find the total displacement travelled by the object during the complete motion, using the velocity - time graph. b Find the total displacement travelled using the above expression.",velocity;displacement;velocity time;time graph;velocity time graph;graph;displacement travelled;time;find;travelled;plot velocity time;plot velocity,,
39,10,Physics,Explain A B,"O C t s i The velocity - time graph is shown in the above figure . ii Acceleration during the first 6 s  Gradient of the OA part of the graph 15 m s-1  6 s  2.5 m s-2 iii Displacement during the first 6 s  Area of the graph below OA 15  6  2  45 m 42 43 iv Displacement at uniform speed  Area of the graph below AB  15 m s-1  6 s  90 m 0 - 15 m s-1 v Acceleration during the last 3 s  3 s  -5 m s-2 That is, deceleration  5 m s-2 vi Displacement during the last 3 s  Area of the graph below BC 15 m s-1  3 s 2  22.5 m vii aToal displacement travelled  Area of the trapezoid OABC b Total displacement travelled OC  AB   15 m s-1 2 15  6s   15 m s-1 2  21s  15 m s-1 2  157.5 m  During the periods of heavy traffic, vehicles have to reduce the speed frequently. When the vehicles begin to move again, the engine has to produce extra power. This process causes an energy loss. Such losses can be minimized by travelling during hours of low traffic whenever possible. 2.7 Gravitational acceleration By experience we know that when a body falls, its velocity increases gradually. That is, the body accelerates. In order to give rise to an acceleration, a force must act on the body. The force that acts on a falling body is the gravitational force exerted by the earth. The acceleration caused by the earths gravitational attraction is known as the gravitational acceleration. Its symbol is g. The average value for the gravitational acceleration at sea level is about 9.8 m s-2. This means that the veloc",15;gravitational;acceleration;graph;displacement;area graph;gravitational acceleration;area;oa;ab 15;body;traffic,,
